,x,y,z,img
0,-150.20096,-7.5040507,77.35154,CH-1995-1
1,-105.0998,-130.06473,8.447978,CH-1995-3
2,136.33836,84.554794,-29.036201,E-1995-4
3,-2.958326,119.439156,-7.881049,E-1995-7
4,-51.816578,118.24328,-50.810585,E-1995-19
5,13.017359,-3.732091,7.280987,E-1995-23
6,-95.93882,-86.22005,-30.989944,E-1995-34
7,-95.01839,-41.004322,-43.669987,I-1995-2
8,67.26685,-75.98144,-38.5255,I-1995-12
9,8.869257,16.23893,-31.372473,I-1995-19
10,113.26338,-99.26121,-24.819843,E-1996-7
11,8.592443,-45.909557,57.65823,E-1996-9
12,-33.74789,-113.746254,23.408325,Blue Poster_1997
13,-4.4453845,-70.4136,98.28083,Connection_1997
14,1.7966954,66.412796,71.468094,Decor_1997
15,12.508148,-2.6080558,49.985188,Doll's House_1997
16,-86.87105,10.686294,-102.5332,Eve_1997
17,0.87484735,93.759705,-44.57252,Glass_1997
18,-79.760025,14.3066025,-55.995472,Green Wall_1997
19,61.188297,-104.5464,4.5824227,NL-1997-1_1997
20,-11.770872,-22.433056,90.70798,Pit_1997
21,36.61831,-81.17332,85.77585,Soil_1997
22,-22.164183,24.339943,4.775862,Wood_1997
23,-70.12937,108.15159,-97.61293,Contour_1997
24,23.88591,-39.313313,124.348,13 Aeroplanes_1998
25,-48.467686,-39.098515,-48.14432,A Moon_1998(missing)
26,56.13649,-24.110094,51.84724,Bay Area_1998
27,83.959984,-69.15671,-125.50238,Constellation_1998
28,58.519436,-38.28945,93.819374,Double Mist_1998
29,-41.605953,24.702082,-34.65851,H2O_1998
30,-7.0441737,-112.977455,-92.86716,High Pool_1998
31,48.13617,-67.25957,39.97257,Landscape_1998
32,-71.37985,59.551186,-15.966501,Long Beach_1998
33,52.08478,-25.999517,9.091096,Meander_1998
34,-10.51139,21.924932,88.65173,Neon_1998
35,83.10846,-67.4354,66.157394,Suburb_1998
36,35.54416,81.93658,-14.320052,Transit_1998
37,104.48635,-100.45889,30.573858,Water_1998
38,-2.9650066,56.108257,-16.812902,Apartment_1999
39,-44.521755,98.225296,-10.857926,3 Piano_1999
40,39.117428,-66.0735,-3.2537754,Avenue_1999
41,-81.93618,-4.94634,-17.37971,Block_1999
42,-57.29718,-64.192505,-123.577995,Circuit_1999
43,-7.9502044,-20.681507,-40.829967,Corridor_1999
44,32.552387,0.7669711,93.11024,Interval_1999
45,118.44227,32.126022,-71.71233,Set_1999
46,-8.375103,131.00978,-76.079094,Transfer_1999
47,-71.38965,24.563456,16.98851,Descent_2000
48,-60.265404,54.30649,-104.5482,Balance_2000
49,-56.527336,143.01291,78.01159,Complex_2000
50,-130.70906,-66.04596,4.2108426,Court_2000
51,-135.34882,95.51476,-8.2084675,Facade_2000
52,60.518406,48.284504,88.68221,Flow_2000
53,-126.23467,-15.510059,5.1678104,Home_2000
54,-175.73364,-43.03509,29.775602,Neighbourhood_2000
55,81.71969,-73.69971,139.33772,Spot_2000
56,-105.62652,-88.68899,127.659615,Capital_2000
57,61.444923,168.1979,66.19508,Parallel_2000
58,-105.890526,62.887592,31.857298,Exit_2001
59,-68.822235,-17.69706,124.87915,Ground_2001
60,-84.93379,68.31059,150.3892,Passing_2001
61,-57.28704,40.105854,177.9033,Setting_2001
62,-142.13568,7.741115,124.00542,Still_2001
63,-34.00643,94.48626,-155.38805,Building_2001
64,98.86979,-29.867388,-48.729206,Expo_2001
65,-58.396122,2.1770995,76.94301,Flux_2001
66,-96.971306,-78.64055,78.627815,Intersection_2001
67,-65.64487,161.53067,32.09877,Two Sixty Four_2001
68,-90.74951,135.64388,-18.119581,Domicile_2002
69,-18.575294,89.764015,-101.67969,Park _2002
70,103.827805,60.424007,69.0806,Gate_2002
71,-120.77592,38.367184,-26.572355,Mezzanine_2002
72,-42.762993,89.72214,78.48961,Quarter_2002
73,46.830673,34.73773,-3.2263052,Terrace_2002
74,123.37018,35.624153,21.090302,Tube_2002
75,96.26548,-60.97202,-2.6401243,Intermezzo_2003
76,-12.678014,6.5618377,-121.20001,Info_2003
77,-35.58243,67.72036,-56.906868,Tour_2003
78,98.145996,38.509647,-29.269386,Midi_2003
79,97.37552,60.251762,-4.0898156,Lille_2003
80,-72.96589,104.3114,31.79668,Metro_2003
81,140.80098,56.061172,-128.41785,Etage_2003
82,50.510605,-19.142681,178.84114,Platform_2003
83,4.3210936,-101.35655,-5.5714984,Habitat_2003
84,146.52798,86.50949,92.96714,Annex_2003
85,-20.694424,-50.95565,172.03497,Column_2003
86,-114.10585,28.054308,88.24998,Crop_2003
87,-125.33558,-48.83458,53.961605,Focus_2003
88,48.04393,144.91626,36.456707,Grid_2003
89,-20.995167,-167.12749,-78.63839,Lobby_2003
90,107.49208,138.73672,-63.86809,Model_2003
91,80.73561,4.4347,139.58253,Plateau_2003
92,16.940475,51.974445,-175.97728,Prospect_2004
93,-21.490032,2.4118629,148.02013,Nexus_2004
94,-38.474487,-2.0222938,-86.9664,Level_2004
95,20.770126,95.050186,30.82289,Gazette_2004
96,31.041094,132.82869,103.29165,Plan_2004
97,-88.77775,65.63435,-68.2047,Frame_2004
98,137.43236,15.966875,115.191956,Section_2004
99,13.08367,12.685246,160.21901,Facet_2004
100,-7.1569624,120.20976,51.953117,Class_2004
101,48.020184,-172.34956,73.07842,Panorama_2004
102,53.20461,36.129547,-50.307743,Sequence_2004
103,81.1186,132.16794,-96.04898,Palace_2004
104,-9.501374,174.39326,-36.19973,Link_2004
105,98.45432,125.2619,48.55983,Gallery_2004
106,39.19572,-100.63148,-143.58803,Front_2004
107,-119.526505,-125.9471,-72.048,Canvas_2004
108,-56.18065,-163.64311,35.652348,Match_2004
109,-102.76951,2.7942123,157.4326,Scene_2004
110,-125.27432,112.98349,54.066,Module_2004
111,81.99035,102.0691,110.71268,Zone_2004
112,-67.13995,-125.55359,-117.33391,Loop_2005
113,63.617844,172.20293,-6.840422,Enterprise_2005
114,49.080235,99.71496,70.45904,Display_2005
115,-16.085712,-146.76112,-21.593685,Enclave_2005
116,174.65387,-35.583817,7.749209,Domain_2005
117,-40.96849,-18.29295,-5.040089,Room_2005
118,-135.90134,-104.03964,49.595356,Core_2005
119,137.53642,-82.88691,73.869835,Palette_2005
120,17.297571,-6.3587103,-161.83842,Queue_2005
121,95.1935,6.478225,72.16005,Unit_2005
122,-56.634342,-87.45075,-80.095,Reservoir_2005
123,-131.81583,-69.757416,-83.362335,Image_2005
124,120.71018,92.51979,-80.65637,Regime_2005
125,-154.90479,-55.15048,-32.322697,Border_2005
126,-13.05319,-81.30414,-51.877308,Storey_2005
127,-12.848752,-136.47899,70.39542,Circle_2006
128,-80.45455,-37.787807,-89.97875,Memo_2006
129,-30.399,73.248886,23.298626,Contact_2006
130,108.78261,-16.573574,1.24107,Collage_2006
131,-90.59731,-30.588484,76.9661,Filter_2006
132,152.12192,35.21212,-18.403238,Corner_2006
133,28.165249,112.83979,-152.9176,Bloom_2006
134,-19.360264,32.807632,46.164562,Fringe_2006
135,81.95151,11.488359,16.707354,Array_2006
136,263.98065,75.5723,43.954613,Cycle_2006
137,45.249058,-32.426075,-131.6369,Interlude_2006
138,55.504616,100.1528,-111.637924,Studio_2006
139,-129.7004,-25.94763,-126.93883,Arcade_2006
140,89.60245,-104.002174,-85.01544,Mirage_2006
141,-3.0045824,-155.24402,45.293755,Sector_2006
142,-72.04075,-40.845142,42.011684,Entrance_2006
143,98.90311,57.111164,120.312126,Square_2006
144,-1.97786,-134.06767,115.355965,Screen_2006
145,-105.224556,1.2585278,43.670418,Network_2006
146,-82.78985,-49.50654,3.8791862,Presence_2006
147,-7.9954133,36.96733,-75.82957,Exposure_2007
148,-52.09941,-99.974785,-18.210855,Base_2007
149,63.107353,77.626175,27.725826,Center_2007
150,55.049854,25.344723,53.740437,Access_2007
151,-66.13068,50.360264,55.35519,Aperture_2007
152,11.659585,-103.347206,45.43075,Detail_2007
153,81.29662,-148.39435,-44.31128,Dynasty_2007
154,84.10355,-157.87447,16.764067,Living_2007
155,-137.19887,-5.8996224,-66.60276,Passage_2007
156,32.995266,-177.01791,-48.37157,Bouquet_2008
157,-17.301609,-41.609066,-90.50997,Forum_2008
158,-47.88987,-56.180046,88.669876,House_2008
159,-99.60434,-145.24074,79.88456,Territory_2008
160,39.127758,74.00464,143.40176,Labyrinth_2008
161,-128.91084,50.36675,-100.81681,Cluster_2008
162,17.171595,48.49255,115.2797,Atmosphere_2008
163,-64.25152,-131.82913,-54.05369,Volume_2008
164,141.96544,0.94472694,-31.465729,Support_2008
165,26.998997,46.70426,36.985935,Junction_2008
166,-32.56937,-72.9636,45.140507,Spectrum_2008
167,-59.27118,42.235577,107.58778,Replica_2008
168,-37.114895,-27.038248,-162.00699,Control_2008
169,32.306877,-77.71316,-88.578255,Nature_2008
170,-80.95429,-96.8503,30.228355,Project_2008
171,96.19152,31.592268,-157.2239,Property_2008
172,-123.78003,110.08532,-66.61052,Summit_2008
173,-152.51463,40.33451,19.088442,Transition_2008
174,175.14366,23.770628,-80.10635,Site_2008
175,35.224472,70.909,-75.10786,Matrix_2008
176,55.111263,-32.753452,-84.71672,Monitor_2008(missing)
177,169.60207,4.581737,65.53493,Flood_2009
178,30.55771,-112.62574,-46.94321,Picture a Mirror_2009
179,113.7828,-50.973095,-88.10854,Matter_2009
180,-55.944534,-115.30096,86.438095,Play_2009
181,2.6700578,-49.490128,11.912191,Race_2009
182,161.23956,-52.65522,-57.56788,Condominium_2010
183,-8.204551,-81.50045,-181.45457,The English House_2010
184,-2.3992507,-64.92362,-130.80194,Green Zone_2010
185,118.77129,138.5713,-4.202496,SuperVision_2010
186,-33.627964,-13.45615,38.73752,China Halo_2010
187,-168.76468,-2.206879,-16.10761,Crossover_2010
188,89.8379,-19.033226,-162.8741,Premises (in Red)_2010
189,52.160847,30.081804,-133.18977,One Brilliant Complex_2011
190,132.78613,83.64524,25.616734,The Approach_2011
191,61.927437,-5.1265078,-35.835094,Double Standard_2012
192,125.11944,-50.30794,37.004547,Plot Ratio_2012
193,30.530981,-44.85644,-45.90417,Synchronicity_2012
194,-31.278486,-62.66692,-7.6442485,Costa Blanca_2012
195,-89.679535,91.23916,99.78451,Flatland_2012
196,-94.11275,-28.14794,-153.86113,Hotel Opportunity_2012
197,153.57886,-12.762995,-103.86737,Mission Interlude_2012
198,114.01818,-35.330128,99.66342,Multi Story Building_2012
199,48.834034,-140.89008,-97.29414,Timeport_2012
200,30.177425,-151.12012,4.005541,Hollywood_2013
201,-3.9365578,162.53116,25.14705,Megalopolis_2013
202,-65.14536,-178.76941,-18.422132,Paramount_2013
203,66.28498,-120.65389,57.16895,Thriller_2013
204,94.50746,74.134254,-117.881615,Capital no Capital_2013
205,-161.57246,59.048332,72.32963,California_2013
206,11.794146,56.17009,-121.08118,Levante_2013
207,-43.322514,-89.25961,135.51456,Propitious Grounds_2013
208,-16.554157,118.07518,119.87731,The Strip_2013
209,73.86093,32.574764,-90.74683,Treasure Gathering Square_2013
210,46.236702,140.03271,-53.854073,The Crossroads_2014
211,70.728516,88.0963,-54.3175,The Deal_2015
212,140.87106,-5.7220416,32.889233,Panacea_2015
213,-45.113926,37.960102,-152.61272,Wonderland_2015
214,-168.30638,53.469547,-48.75472,Momentum_2016
215,94.28969,-5.909605,-103.617035,The Next Level_2016
216,-21.59323,67.4766,137.44012,UN_2016
217,64.956795,-124.10536,114.53991,Entracte_2016
218,83.37336,113.115204,-9.039994,Performance_2017
219,27.933361,0.9129456,-85.11112,The Valley Continuum_2018
